yyyy mm dd hh mi |  m s{-1}   |     C       |    %     |    mb    |  W m{-2}  |  W m{-2} | Inches/timestep
----------------------------------------------------------------------------------------------------------------------
1998 01 02 18 00     9.820     8.800    84.500   994.000   181.000   323.000     0.000
1998 01 02 18 30     9.000     9.100    85.400   994.000   232.000   337.000     0.000
1998 01 02 19 00     8.850     8.800    89.100   993.000   163.000   341.000     0.000
1998 01 02 19 30     8.330     8.300    94.700   993.000   123.000   349.000     0.000
1998 01 02 20 00     8.170     8.300    95.000   993.000    78.000   353.000     0.000
1998 01 02 20 30     7.420     8.200    96.000   993.000    47.000   352.000     0.000
1998 01 02 21 00     7.560     8.100    97.100   993.000    29.000   352.000     0.000
1998 01 02 21 30     8.200     8.100    98.800   993.000    23.000   352.000     0.000
1998 01 02 22 00     7.730     8.000   100.100   993.000    16.000   352.000     0.000
1998 01 02 22 30     7.300     7.900   100.500   993.000     4.000   352.000     0.000
1998 01 02 23 00     7.310     8.100    99.600   993.000     1.000   352.000     0.000
1998 01 02 23 30     7.590     8.100    99.500   993.000     0.000   352.000     0.000
1998 01 03 00 00     7.810     8.000    99.300   993.000     0.000   352.000     0.000
1998 01 03 00 30     8.470     8.200    98.000   993.000     0.000   352.000     0.000
1998 01 03 01 00     7.580     8.200    97.700   993.000     0.000   352.000     0.000
1998 01 03 01 30     6.790     8.100    98.100   992.000     0.000   353.000     0.000
1998 01 03 02 00     6.780     8.000    97.500   992.000     0.000   353.000     0.000
1998 01 03 02 30     7.070     8.000    96.200   992.000     0.000   353.000     0.000
1998 01 03 03 00     6.480     8.200    94.800   992.000     0.000   354.000     0.000
1998 01 03 03 30     6.520     8.400    93.700   992.000     0.000   355.000     0.000
1998 01 03 04 00     6.460     8.400    93.600   992.000     0.000   354.000     0.000
1998 01 03 04 30     8.440     9.300    91.000   992.000     0.000   351.000     0.000
1998 01 03 05 00     8.800     9.600    88.600   992.000     0.000   351.000     0.000
1998 01 03 05 30     9.490     9.900    86.000   991.000     0.000   356.000     0.000
1998 01 03 06 00     9.360    10.000    85.400   991.000     0.000   357.000     0.000
