!----------------------------------------------------------------------------------------------------------------------
!Location Information
!----------------------------------------------------------------------------------------------------------------------
&location
 latitude               =  40.01                                ! latitude [degrees]
 longitude              = -88.37                                ! longitude [degrees]
 vegetation_category    = 12                                    ! category based on land_cover_source
 soil_category          = 8                                     ! soil texture class
 deep_soil_temperature  = 285.0                                 ! deep soil temperature [K]
 elevation              = 218.0                                 ! elevation [m]
 sea_ice                = 0.0                                   ! sea ice fraction [-] (should be 0.0 for a land point)
 maximum_vegetation_pct = 96.0                                  ! maximum annual vegetation percentage [0-100]
 minimum_vegetation_pct = 1.0                                   ! minimum annual vegetation percentage [0-100]
 land_mask              = 1                                     ! land mask [-] (should be 1 for a land point)
 nsoil                  = 4                                     ! number of soil layers
/
!----------------------------------------------------------------------------------------------------------------------
!Initial States
!----------------------------------------------------------------------------------------------------------------------
&initial
 snow_depth             =  0.01                                 ! snow depth [m]
 snow_water_equivalent  =  1.0                                  ! snow water equivalent [mm]
 canopy_water           =  0.01                                 ! canopy water [mm]
 skin_temperature       =  263.7                                ! skin temperature [K]
 soil_layer_thickness   =  0.10,    0.30,    0.60,    1.00      ! layer thicknesses [m]
 soil_layer_nodes       =  0.05,    0.25,    0.70,    1.50      ! layer centroids from surface [m]
 soil_temperature       =  266.1,   274.0,   276.9,   279.9     ! layer soil temperature [K]
 soil_moisture          =  0.298,   0.294,   0.271,   0.307     ! layer volumetric total water content [m3/m3]
 leaf_area_index        =  2.0                                  ! leaf area index [m2/m2] used to initialize carbon budgets
/
!----------------------------------------------------------------------------------------------------------------------
!Metadata
!----------------------------------------------------------------------------------------------------------------------
&metadata
 grid_id                =  1                                    ! used for grid labeling
 water_classification   = 17                                    ! water type in land classification       (17 for MODIS; 16 for USGS)
 urban_classification   = 13                                    ! urban type in land classification       (13 for MODIS;  1 for USGS)
 ice_classification     = 15                                    ! snow/ice type in land classification    (15 for MODIS; 24 for USGS)
 land_cover_source      = "MODIFIED_IGBP_MODIS_NOAH"            ! land classification (USGS or MODIFIED_IGBP_MODIS_NOAH)
/
!----------------------------------------------------------------------------------------------------------------------
!Conversion information
!----------------------------------------------------------------------------------------------------------------------
&conversion
 have_relative_humidity = .false.                               ! set to true if you need to convert relative to specific
 temperature_offset     = 0.                                    ! 273.15 to convert C to K
 temperature_scale      = 1.0                                   ! can be used to convert F to C
 pressure_scale         = 100.0                                 ! 100.0 to convert mb to Pa
 precipitation_scale    = 0.000555                              ! 0.014111 to convert inches/30min to mm/s
/                                                               ! 0.000555 to convert     mm/30min to mm/s
----------------------------------------------------------------------------------------------------------------------
   date/time     | windspeed  | temperature | humidity | pressure | shortwave | longwave | precipitation
yyyy mm dd hh mi |  m s{-1}   |     K       |  kg/kg   |    mb    |  W m{-2}  |  W m{-2} | mm/timestep
----------------------------------------------------------------------------------------------------------------------
2001 01 01 00 00     1.700   258.750 0.0011384  1006.000     0.000   189.000     0.000
2001 01 01 00 30     2.310   258.350 0.0010991  1006.000     0.000   188.000     0.000
2001 01 01 01 00     2.440   257.950 0.0010671  1007.000     0.000   188.000     0.000
2001 01 01 01 30     2.010   257.650 0.0010386  1007.000     0.000   188.000     0.000
2001 01 01 02 00     2.030   257.350 0.0010220  1007.000     0.000   187.000     0.000
2001 01 01 02 30     2.180   257.250 0.0010234  1007.000     0.000   187.000     0.000
2001 01 01 03 00     1.880   257.050 0.0010195  1007.000     0.000   187.000     0.000
2001 01 01 03 30     2.880   256.850 0.0010144  1008.000     0.000   186.000     0.000
2001 01 01 04 00     1.800   256.550 0.0009873  1008.000     0.000   185.000     0.000
2001 01 01 04 30     1.900   256.550 0.0009956  1008.000     0.000   186.000     0.000
2001 01 01 05 00     2.510   256.550 0.0009935  1008.000     0.000   186.000     0.000
2001 01 01 05 30     2.640   256.450 0.0009811  1008.000     0.000   185.000     0.000
2001 01 01 06 00     2.490   256.350 0.0009739  1008.000     0.000   185.000     0.000
2001 01 01 06 30     2.290   256.450 0.0009771  1009.000     0.000   185.000     0.000
2001 01 01 07 00     2.620   256.450 0.0009729  1009.000     0.000   184.000     0.000
2001 01 01 07 30     3.040   256.150 0.0009478  1009.000     0.000   184.000     0.000
2001 01 01 08 00     3.490   256.150 0.0009428  1009.000     0.000   183.000     0.000
2001 01 01 08 30     3.130   256.050 0.0009319  1009.000     0.000   182.000     0.000
2001 01 01 09 00     2.840   255.850 0.0009125  1009.000     0.000   183.000     0.000
2001 01 01 09 30     2.400   255.050 0.0008492  1009.000     0.000   182.000     0.000
2001 01 01 10 00     1.680   254.650 0.0008209  1010.000     0.000   182.000     0.000
2001 01 01 10 30     2.510   254.750 0.0008253  1010.000     0.000   181.000     0.000
2001 01 01 11 00     2.870   254.650 0.0008192  1010.000     0.000   180.000     0.000
2001 01 01 11 30     2.180   254.750 0.0008235  1010.000     0.000   181.000     0.000
2001 01 01 12 00     1.760   254.350 0.0007926  1011.000     0.000   180.000     0.000
2001 01 01 12 30     1.800   254.250 0.0007867  1011.000     0.000   179.000     0.000
2001 01 01 13 00     1.420   254.350 0.0007934  1011.000     8.000   180.000     0.000
2001 01 01 13 30     1.790   254.550 0.0008063  1012.000    46.000   180.000     0.000
2001 01 01 14 00     1.840   254.650 0.0008044  1012.000   118.000   179.000     0.000
2001 01 01 14 30     2.030   255.050 0.0008349  1012.000   189.000   178.000     0.000
2001 01 01 15 00     2.420   256.050 0.0009104  1013.000   247.000   178.000     0.000
2001 01 01 15 30     2.450   256.850 0.0009777  1013.000   303.000   179.000     0.000
2001 01 01 16 00     2.730   257.750 0.0010548  1013.000   353.000   180.000     0.000
2001 01 01 16 30     3.620   258.750 0.0011552  1013.000   394.000   181.000     0.000
2001 01 01 17 00     2.860   259.550 0.0012360  1013.000   434.000   182.000     0.000
2001 01 01 17 30     3.890   260.250 0.0013138  1012.000   459.000   182.000     0.000
2001 01 01 18 00     3.330   260.750 0.0013650  1012.000   454.000   183.000     0.000
2001 01 01 18 30     2.090   261.450 0.0014285  1011.000   437.000   185.000     0.000
2001 01 01 19 00     2.350   262.050 0.0014695  1011.000   404.000   185.000     0.000
2001 01 01 19 30     3.710   262.150 0.0014584  1011.000   357.000   184.000     0.000
2001 01 01 20 00     3.260   262.050 0.0014160  1011.000   300.000   184.000     0.000
2001 01 01 20 30     2.680   261.950 0.0014030  1010.000   235.000   184.000     0.000
2001 01 01 21 00     2.870   261.650 0.0013807  1010.000   165.000   184.000     0.000
2001 01 01 21 30     2.630   261.150 0.0013476  1010.000    93.000   184.000     0.000
2001 01 01 22 00     1.940   260.450 0.0012935  1009.000    26.000   183.000     0.000
2001 01 01 22 30     2.150   259.750 0.0012585  1009.000     2.000   183.000     0.000
2001 01 01 23 00     2.430   258.950 0.0012144  1009.000     0.000   182.000     0.000
