variable,Lower bound,Upper bound
VCMX25,30,120
HVT,30,55
HVB,5,20
CWPVT,0.15,5.35
Z0MVT,0.3,1.4
WLTSMC,0.02,0.26
REFSMC,0.15,0.45
MAXSMC,0.45,0.75
SATDK,1.00E-06,5.00E-04
SATDK(log),-6,-3.3
LAI,3,7
