column_name,section,variable,type
VCMX25_EBF,&noahmp_modis_parameters,VCMX25,2
HVT_EBF,&noahmp_modis_parameters,HVT,2
HVB_EBF,&noahmp_modis_parameters,HVB,2
CWPVT_EBF,&noahmp_modis_parameters,CWPVT,2
Z0MVT_EBF,&noahmp_modis_parameters,Z0MVT,2
WLTSMC_SCL,&noahmp_soil_stas_parameters,WLTSMC,11
REFSMC_SCL,&noahmp_soil_stas_parameters,REFSMC,11
MAXSMC_SCL,&noahmp_soil_stas_parameters,MAXSMC,11
SATDK_SCL,&noahmp_soil_stas_parameters,SATDK,11
LAI_EBF,&noahmp_modis_parameters,LAI_MONTHLY,2
